image,tags
COCO_val2014_000000000042.jpg, air  holding  baby man is
COCO_val2014_000000000073.jpg,  red riding  man bike helmet is shirt
COCO_val2014_000000000074.jpg, ball red playing children are grass 
COCO_val2014_000000000133.jpg, red ball  red boy playing  is young shirt
COCO_val2014_000000000136.jpg,  red  man sitting bench is shirt
COCO_val2014_000000000139.jpg,  playing children are bed
COCO_val2014_000000000143.jpg, dog  running grass  is black
COCO_val2014_000000000164.jpg,  red  man sitting bench is shirt
COCO_val2014_000000000192.jpg, red  baseball player uniform playing is white baseball 
COCO_val2014_000000000196.jpg,   man sitting bench is black shirt
COCO_val2014_000000000208.jpg, are playing children grass 
COCO_val2014_000000000241.jpg,   woman sitting bench is black shirt
COCO_val2014_000000000257.jpg, front ocean  red standing  man is shirt
COCO_val2014_000000000283.jpg, are playing children grass 
COCO_val2014_000000000285.jpg, are playing dogs grass 
COCO_val2014_000000000294.jpg, are girls standing grass 
COCO_val2014_000000000328.jpg, front  red crowd standing  man is black white shirt
COCO_val2014_000000000338.jpg, front standing jacket  man is store  black shirt
COCO_val2014_000000000357.jpg,  red dog playing  man is shirt
COCO_val2014_000000000359.jpg, front red standing  man is camera  shirt
COCO_val2014_000000000360.jpg,  red railing  man is shirt jumping
COCO_val2014_000000000387.jpg,  toy playing children are
COCO_val2014_000000000395.jpg, front standing  man is store  black shirt
COCO_val2014_000000000397.jpg,  red  man sitting bench is shirt
COCO_val2014_000000000400.jpg,  jacket  man sitting bench is black
COCO_val2014_000000000415.jpg,  ball red  boy uniform kicks white
COCO_val2014_000000000428.jpg, red ball  red boy playing  is young shirt
COCO_val2014_000000000459.jpg, front standing  man is store  black shirt
COCO_val2014_000000000472.jpg,  jacket pond edge  man sitting is black
COCO_val2014_000000000474.jpg, red ball  red playing  boy is shirt
COCO_val2014_000000000486.jpg,   man sitting bench is black shirt
COCO_val2014_000000000488.jpg, playing  boys are soccer grass 
COCO_val2014_000000000502.jpg, are playing dogs grass 
COCO_val2014_000000000520.jpg, people water  dock  are sitting overlooking
COCO_val2014_000000000536.jpg,  women are sitting bench
COCO_val2014_000000000544.jpg, red  baseball player uniform playing is white baseball 
COCO_val2014_000000000564.jpg, field  playing  are men soccer
COCO_val2014_000000000569.jpg,  red  man sitting bench is shirt
COCO_val2014_000000000589.jpg, are playing children grass 
COCO_val2014_000000000590.jpg, are playing beach  children
COCO_val2014_000000000599.jpg, dog  running grass  is
COCO_val2014_000000000623.jpg,  toy playing children are
